ip_proto,src_addr,dst_addr,src_port,dst_port
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
TCP,192.168.0.1,192.168.0.2,80,8080
